date,name,rank,nationality,branch,age,country,province,where,source,cause,state,city,state_pop_2010
2006-02-17,"Levens, Donnie Leo F.",Sergeant,United States,U.S. Marine,25,Afghanistan,NA,Gulf of Aden [nr. Ras Siyyan],non-hostile,helicopter crash,Mississippi,Long Beach,2967297
2006-02-17,"Fordyce, James F.",Sergeant,United States,U.S. Marine,22,Afghanistan,NA,Gulf of Aden [nr. Ras Siyyan],non-hostile,helicopter crash,Pennsylvania,Newton Square,12702379
2006-02-17,"Sovie, Nicholas J.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,NA,Gulf of Aden [nr. Ras Siyyan],non-hostile,helicopter crash,New York,Ogdensburg,19378102
2006-02-17,"Marcellus, Matthieu",Corporal,United States,U.S. Marine,31,Afghanistan,NA,Gulf of Aden [nr. Ras Siyyan],non-hostile,helicopter crash,Florida,Gainesville,18801310
2006-02-13,"Newman, Clinton T.",Staff Sergeant,United States,U.S. Army Reserve,26,Afghanistan,Uruzgan,Deh Rawood,hostile,hostile fire - ied attack,Texas,San Antonio,25145561
2006-02-13,"Montrond, Alberto D.",Sergeant,United States,U.S. Army,27,Afghanistan,Uruzgan,Deh Rawood,hostile,hostile fire - ied attack,Massachusetts,Suffolk,6547629
2006-02-13,"Gonsalves, Chad A.",Sergeant 1st Class,United States,U.S. Army,31,Afghanistan,Uruzgan,Deh Rawood,hostile,hostile fire - ied attack,California,Turlock,37253956
2006-02-13,"Dazachacon, Edwin H.",Staff Sergeant,United States,U.S. Army,38,Afghanistan,Uruzgan,Deh Rawood,hostile,hostile fire - ied attack,Illinois,Belleville,12830632
2006-02-09,"Bertolino, Matthew L.",Private 1st Class,United States,U.S. Marine,20,Afghanistan,Nangarhar,Jalalabad,non-hostile,vehicle accident,New Hampshire,Hampstead,1316470
2006-02-06,"Fralish, John T.",Petty Officer 3rd Class,United States,U.S. Navy,30,Afghanistan,Laghman,Methar Lam,hostile,hostile fire - small arms fire,Pennsylvania,New Kingstown,12702379
2006-01-27,"Brixey Jr., Billy D.",Lance Corporal,United States,U.S. Marine,21,Afghanistan,Afghanistan,"Landstuhl Reg. Med. Center, Landstuhl, Germany",hostile,hostile fire - ied attack,Louisiana,Ferriday,4533372
2005-12-28,"Hasenauer, Jason D.",Private 1st Class,United States,U.S. Army,21,Afghanistan,Kandahar,Kandahar Airfield Hospital,non-hostile,vehicle accident,New York,Hilton,19378102
2005-12-28,"Meister, Tobias C.",1st Sergeant,United States,U.S. Army Reserve,30,Afghanistan,Kunar,Asadabad,hostile,hostile fire - ied attack,Oklahoma,Jenks,3751351
2005-12-15,"Morton, John D.",Sergeant 1st Class,United States,U.S. Army,31,Afghanistan,Kandahar,Shah Wali Khot district,hostile,hostile fire - small arms fire,Kentucky,Stanton,4339367
2005-11-22,"Steyart, Matthew P.",Specialist,United States,U.S. Army,21,Afghanistan,Kandahar,Shah Wali Khot district,hostile,hostile fire - ied attack,California,Mount Shasta,37253956
2005-11-20,"Turpin, Emory J.",Petty Officer 3rd Class,United States,U.S. Navy,23,Afghanistan,NA,Republic of Seychelles,non-hostile,accidental drowning,Georgia,Dahlonega,9687653
2005-11-15,"Ochsner, James S.",Sergeant 1st Class,United States,U.S. Army,36,Afghanistan,Paktika,Paktika Province,hostile,hostile fire - ied attack,Illinois,Waukegan,12830632
2005-10-29,"Nixon, Travis W.",Not reported yet,United States,U.S. Army,24,Afghanistan,Khost,FOB Salerno,hostile,hostile fire,Washington,St. John,6724540
2005-10-16,"Cruz, Joseph",Private 1st Class,United States,U.S. Army,22,Afghanistan,Parwan,Bagram Air Base,non-hostile,accident,California,Whittier,37253956
2005-10-14,"Moreno, Fabricio",Petty Officer 3rd Class,United States,U.S. Navy,26,Afghanistan,NA,Manda Bay,non-hostile,vehicle accident,New York,Brooklyn,19378102
2005-10-14,"Mullen, Scott J.",Specialist,United States,U.S. Army,22,Afghanistan,NA,Makati City,non-hostile,accident,Arizona,Tucson,6392017
2005-10-09,"Ezernack, Troy S.",Staff Sergeant,United States,U.S. Army,39,Afghanistan,Zabul,Qalat,hostile,hostile fire - grenade attack,Pennsylvania,Lancaster,12702379
2005-10-07,"Franklin, Benny S.",Private 1st Class,United States,U.S. Army,19,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack,Louisiana,Hammond,4533372
2005-10-06,"Armstead, Moses E.",Sergeant 1st Class,United States,U.S. Army,44,Afghanistan,NA,"Landstuhl Reg. Med. Center, Landstuhl, Germany",non-hostile,illness,New York,Rochester,19378102
2005-09-30,"Doles, John G.",Staff Sergeant,United States,U.S. Army,29,Afghanistan,Kandahar,Shah Wali Khot district,hostile,hostile fire,Oklahoma,Claremore,3751351
2005-09-30,"Stoddard Jr., James J.",Sergeant 1st Class,United States,U.S. Army,29,Afghanistan,Unknown,Afghanistan,non-hostile,vehicle accident,Maryland,Crofton,5773552
2005-09-26,"White, Robert F.",Staff Sergeant,United States,U.S. Army,34,Afghanistan,Kandahar,Kandahar,hostile,hostile fire,West Virginia,Cross Lanes,1852994
2005-09-26,"Valdez, Steven A.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Kunar,Camp Blessing,hostile,hostile fire,Arkansas,McRea,2915918
2005-09-25,"Flynn, John M.",Chief Warrant Officer,United States,U.S. Army National Guard,36,Afghanistan,Zabul,Deh Chopan,hostile,helicopter crash,Nevada,Sparks,2700551
2005-09-25,"Stewart, Patrick D.",Sergeant,United States,U.S. Army National Guard,35,Afghanistan,Zabul,Deh Chopan,hostile,helicopter crash,Nevada,Fernley,2700551
2005-09-25,"Baum, Tane T.",Sergeant,United States,U.S. Army National Guard,30,Afghanistan,Zabul,Deh Chopan,hostile,helicopter crash,Oregon,Pendleton,3831074
2005-09-25,"Stump, Adrian B.",Warrant Officer,United States,U.S. Army National Guard,22,Afghanistan,Zabul,Deh Chopan,hostile,helicopter crash,Oregon,Pendleton,3831074
2005-09-25,"Ross, Kenneth G.",Sergeant,United States,U.S. Army,24,Afghanistan,Zabul,Deh Chopan,hostile,helicopter crash,Arizona,Peoria,6392017
2005-09-03,"Nass, Ryan J.",Lance Corporal,United States,U.S. Marine,21,Afghanistan,Kunar,Camp Blessing,non-hostile,weapon discharge,Wisconsin,Franklin,5686986
2005-09-01,"Hines, Derek S.",1st Lieutenant,United States,U.S. Army,25,Afghanistan,Zabul,Baylough,hostile,hostile fire,Massachusetts,Newburyport,6547629
2005-08-26,"Campbell, Damion G.",Staff Sergeant,United States,U.S. Army,23,Afghanistan,Paktika,Khayr Kot District,hostile,hostile fire - ied attack,Maryland,Baltimore,5773552
2005-08-21,"Lehmiller, Michael R.",Sergeant,United States,U.S. Army,23,Afghanistan,Zabul,Deh Chopan,hostile,hostile fire - ied attack,South Carolina,Anderson,4625364
2005-08-21,"Palmer, Christopher L.",Private,United States,U.S. Army,22,Afghanistan,Zabul,Deh Chopan,hostile,hostile fire - ied attack,California,Sacramento,37253956
2005-08-21,"Hyland, Joshua M.",1st Lieutenant,United States,U.S. Army,31,Afghanistan,Zabul,Deh Chopan,hostile,hostile fire - ied attack,Montana,Missoula,989415
2005-08-21,"Hall, Blake W.",Specialist,United States,U.S. Army,20,Afghanistan,Zabul,Deh Chopan,hostile,hostile fire - ied attack,Missouri,East Prairie,5988927
2005-08-18,"Walker, Laura Margaret",1st Lieutenant,United States,U.S. Army,24,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack,Texas,Not reported yet,25145561
2005-08-18,"Davis, Robert G.",Sergeant,United States,U.S. Army,23,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack,Missouri,Jackson,5988927
2005-08-18,"George, Phillip C.",Lance Corporal,United States,U.S. Marine,22,Afghanistan,Kunar,Taleban,hostile,hostile fire,Texas,Houston,25145561
2005-08-11,"Heselton, Edward R.",Sergeant,United States,U.S. Army Reserve,23,Afghanistan,Paktika,Paktika Province,hostile,hostile fire,South Carolina,Easley,4625364
2005-08-11,"Chandler, Jeremy A.",Captain,United States,U.S. Army,30,Afghanistan,Uruzgan,FOB Ripley,non-hostile,explosives accident,Tennessee,Clarksville,6346105
2005-08-09,"Katzenberger, Christopher M.",Specialist,United States,U.S. Army,25,Afghanistan,Parwan,Bagram Air Base,hostile,hostile fire - ied attack,Missouri,St. Louis,5988927
2005-08-08,"Falkel, Christopher M.",Staff Sergeant,United States,U.S. Army,22,Afghanistan,Zabul,Deh Chopan,hostile,hostile fire,Colorado,Highlands Ranch,5029196
2005-08-04,"Clark Jr., Theodore",Gunnery Sergeant,United States,U.S. Marine,31,Afghanistan,Paktika,Orgun-E,hostile,hostile fire - ied attack,Virginia,Emporia,8001024
2005-08-04,"Garza, Damian J.",Private 1st Class,United States,U.S. Army,19,Afghanistan,Kunar,Kunar River,non-hostile,vehicle accident (drowning),Texas,Odessa,25145561
2005-08-04,"Henderson Jr., John M.",Private,United States,U.S. Army,21,Afghanistan,Kunar,Kunar River,non-hostile,vehicle accident (drowning),Georgia,Columbus,9687653
2005-07-25,"Schafer, Michael W.",Staff Sergeant,United States,U.S. Army,25,Afghanistan,Uruzgan,Deh Rawood,hostile,hostile fire,Florida,Spring Hill,18801310
2005-07-23,"Palmerton, Jason T.",Sergeant,United States,U.S. Army,25,Afghanistan,Helmand,Qala-i-Gaz,hostile,hostile fire,Nebraska,Auburn,1826341
2005-06-28,"Murphy, Michael P.",Lieutenant,United States,U.S. Navy Reserve,29,Afghanistan,Kunar,Kunar,hostile,hostile fire,New York,Patchogue,19378102
2005-06-28,"McGreevy Jr., Michael M.",Lieutenant,United States,U.S. Navy,30,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),New York,Portville,19378102
2005-06-28,"Axelson, Matthew G.",Petty Officer 2nd Class,United States,U.S. Navy,29,Afghanistan,Kunar,Kunar,hostile,hostile fire,California,Cupertino,37253956
2005-06-28,"Dietz, Danny P.",Petty Officer 2nd Class,United States,U.S. Navy,25,Afghanistan,Kunar,Kunar,hostile,hostile fire,Colorado,Littleton,5029196
2005-06-28,"Taylor, Jeffrey S.",Petty Officer 1st Class,United States,U.S. Navy,30,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),West Virginia,Midway,1852994
2005-06-28,"Suh, James",Petty Officer 2nd Class,United States,U.S. Navy,28,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Florida,Deerfield Beach,18801310
2005-06-28,"Patton, Eric Shane",Petty Officer 2nd Class,United States,U.S. Navy,22,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Nevada,Boulder City,2700551
2005-06-28,"Kristensen, Erik S.",Lieutenant Commander,United States,U.S. Navy,33,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),California,San Diego,37253956
2005-06-28,"Healy, Daniel R.",Senior Chief Petty Officer,United States,U.S. Navy,36,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),New Hampshire,Exeter,1316470
2005-06-28,"Fontan, Jacques J.",Chief Petty Officer,United States,U.S. Navy,36,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Louisiana,New Orleans,4533372
2005-06-28,"Scherkenbach, Chris J.",Chief Warrant Officer,United States,U.S. Army,40,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Florida,Jacksonville,18801310
2005-06-28,"Goare, Shamus O.",Staff Sergeant,United States,U.S. Army,29,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Ohio,Danville,11536504
2005-06-28,"Russell, Michael L.",Sergeant 1st Class,United States,U.S. Army,31,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Virginia,Stafford,8001024
2005-06-28,"Reich, Stephen C.",Major,United States,U.S. Army,34,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Connecticut,Washington Depot,3574097
2005-06-28,"Goodnature, Corey J.",Chief Warrant Officer,United States,U.S. Army,35,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Minnesota,Clarks Grove,5303925
2005-06-28,"Jacoby, Kip A.",Sergeant,United States,U.S. Army,21,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Florida,Pompano Beach,18801310
2005-06-28,"Muralles, Marcus V.",Sergeant 1st Class,United States,U.S. Army,33,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Indiana,Shelbyville,6483802
2005-06-28,"Ponder III, James W. ""Tré""",Master Sergeant,United States,U.S. Army,36,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Tennessee,Franklin,6346105
2005-06-28,"Lucas, Jeffery A.",Petty Officer 1st Class,United States,U.S. Navy,33,Afghanistan,Kunar,Kunar,hostile,helicopter crash (rpg attack),Oregon,Corbett,3831074
2005-06-25,"Joyce, Kevin B.",Lance Corporal,United States,U.S. Marine,19,Afghanistan,Kunar,Pech River Valley,non-hostile,vehicle accident (drowning),Arizona,Ganado,6392017
2005-06-22,"Dively, Duane W.",Major,United States,U.S. Air Force,43,Afghanistan,NA,Southwest Asia,non-hostile,aircraft crash,California,Rancho California,37253956
2005-06-16,"Piper, Christopher N.",Staff Sergeant,United States,U.S. Army,43,Afghanistan,Paktika,"Brooke Army Medical Center, San Antonio, TX",hostile,hostile fire - ied attack,Massachusetts,Marblehead,6547629
2005-06-10,"Cervantes, Victor H.",Sergeant 1st Class,United States,U.S. Army,27,Afghanistan,Paktika,Orgun-E,hostile,hostile fire - ambush,California,Stockton,37253956
2005-06-08,"Kelley, Michael J.",Sergeant,United States,U.S. Army National Guard,26,Afghanistan,Paktika,Shkin,hostile,hostile fire - mortar attack,Massachusetts,Scituate,6547629
2005-06-08,"Hernandez, Emmanuel",Private 1st Class,United States,U.S. Army,22,Afghanistan,Paktika,Shkin,hostile,hostile fire - mortar attack,Puerto Rico,Yauco,NA
2005-06-03,"Robinson, Charles D.",Captain,United States,U.S. Army,29,Afghanistan,Paktika,FOB Orgun-E,hostile,hostile fire - ied attack,New Jersey,Haddon Heights,8791894
2005-06-03,"Alexander, Leroy E.",Staff Sergeant,United States,U.S. Army,27,Afghanistan,Paktika,FOB Orgun-E,hostile,hostile fire - ied attack,Virginia,Dale City,8001024
2005-05-23,"Hemauer, Kyle M.",Private 1st Class,United States,U.S. Army National Guard,21,Afghanistan,Zabul,Deh Chopan,non-hostile,suicide,Wisconsin,Chilton,5686986
2005-05-21,"Tucker, Steven Charles",Corporal,United States,U.S. Army,19,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack,Texas,Grapevine,25145561
2005-05-08,"Kirven, Nicholas C.",Lance Corporal,United States,U.S. Marine,21,Afghanistan,Laghman,Alishang,hostile,hostile fire,Virginia,Fairfax/Richmond,8001024
2005-05-08,"Schoener, Richard P.",Corporal,United States,U.S. Marine,22,Afghanistan,Laghman,Alishang,hostile,hostile fire,Louisiana,Hayes,4533372
2005-04-26,"Johnson, Allen C.",Sergeant 1st Class,United States,U.S. Army,31,Afghanistan,Uruzgan,Deh Rawood,hostile,hostile fire,California,Los Molinos,37253956
2005-04-24,"Defazio, Robert W.",Specialist,United States,U.S. Army,21,Afghanistan,Kandahar,Kandahar,non-hostile,non-combat related injuries,New York,West Babylon,19378102
2005-04-23,"White III, Robert C.",Private,United States,U.S. Army,21,Afghanistan,Kandahar,Kandahar,non-hostile,non-combat related injuries,New Jersey,Camden,8791894
2005-04-06,"High, Stephen C.",Sergeant,United States,U.S. Army National Guard,45,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,South Carolina,Spartanburg,4625364
2005-04-06,"Struble, Sascha",Specialist,United States,U.S. Army,20,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,New York,Philadelphia,19378102
2005-04-06,"Freeman, Daniel J.",Specialist,United States,U.S. Army,20,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,Ohio,Cincinnati,11536504
2005-04-06,"Woodard, Romanes L.",Staff Sergeant,United States,U.S. Army,30,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,North Carolina,Hertford,9535483
2005-04-06,"Murphy, Edward J.",Major,United States,U.S. Army,36,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,South Carolina,Not reported yet,4625364
2005-04-06,"Spivey, Michael K.",Specialist,United States,U.S. Army,21,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,North Carolina,Fayetteville,9535483
2005-04-06,"Sanders Jr., Charles R.",Staff Sergeant,United States,U.S. Army,29,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,Missouri,Charleston,5988927
2005-04-06,"Banks, Barbaralien",Sergeant Major,United States,U.S. Army,41,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,Louisiana,Harvey,4533372
2005-04-06,"Prather, Clint J.",Chief Warrant Officer,United States,U.S. Army,32,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,Washington,Cheney,6724540
2005-04-06,"Matoscolon, Edwin A.",Master Sergeant,United States,U.S. Army,42,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,Puerto Rico,Juana Diaz,NA
2005-04-06,"Ayala, David",Chief Warrant Officer,United States,U.S. Army,24,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,New York,New York,19378102
2005-04-06,"Sykes II, Pendelton L.",Private 1st Class,United States,U.S. Army,25,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,Virginia,Chesapeake,8001024
2005-04-06,"Stout, Chrystal Gaye",Specialist,United States,U.S. Army National Guard,23,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,South Carolina,Travelers Rest,4625364
2005-04-06,"Lee, James Shawn",Sergeant,United States,U.S. Marine,26,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,Indiana,Mount Vernon,6483802
2005-04-06,"Connolly, David S.",Captain,United States,U.S. Army Reserve,37,Afghanistan,Ghazni,Ghazni,non-hostile,helicopter crash,Massachusetts,Boston,6547629
2005-03-26,"Snyder, Norman K.",Private 1st Class,United States,U.S. Army National Guard,21,Afghanistan,Logar,Logar,hostile,hostile fire - land mine,Indiana,Carlisle,6483802
2005-03-26,"Hershey, Brett M.",Specialist,United States,U.S. Army National Guard,23,Afghanistan,Logar,Logar,hostile,hostile fire - land mine,Pennsylvania,State College,12702379
2005-03-26,"Hiester, Michael T.",Master Sergeant,United States,U.S. Army National Guard,33,Afghanistan,Logar,Logar,hostile,hostile fire - land mine,Indiana,Bluffton,6483802
2005-03-26,"Fiscus, Michael T.",Captain,United States,U.S. Army National Guard,36,Afghanistan,Logar,Logar,hostile,hostile fire - land mine,Indiana,Milford,6483802
2005-03-16,"Koele, Shane M.",Staff Sergeant,United States,U.S. Army,25,Afghanistan,Herat,Shindand,hostile,hostile fire - land mine,Nebraska,Wayne,1826341
2005-03-09,"Mazur, Alec",Petty Officer 1st Class,United States,U.S. Navy,35,Afghanistan,NA,"Mombassa, Kenya (near)",non-hostile,vehicle accident,New York,Vernon,19378102
